HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,class,cluster
45.0,49.0,49.0,65.0,65.0,45.0,Bulbasaur,1
60.0,62.0,63.0,80.0,80.0,60.0,Ivysaur,1
80.0,82.0,83.0,100.0,100.0,80.0,Venusaur,0
80.0,100.0,123.0,122.0,120.0,80.0,VenusaurMega Venusaur,0
39.0,52.0,43.0,60.0,50.0,65.0,Charmander,1
58.0,64.0,58.0,80.0,65.0,80.0,Charmeleon,1
78.0,84.0,78.0,109.0,85.0,100.0,Charizard,0
78.0,130.0,111.0,130.0,85.0,100.0,CharizardMega Charizard X,0
78.0,104.0,78.0,159.0,115.0,100.0,CharizardMega Charizard Y,0
44.0,48.0,65.0,50.0,64.0,43.0,Squirtle,1
59.0,63.0,80.0,65.0,80.0,58.0,Wartortle,1
79.0,83.0,100.0,85.0,105.0,78.0,Blastoise,2
79.0,103.0,120.0,135.0,115.0,78.0,BlastoiseMega Blastoise,0
45.0,30.0,35.0,20.0,19.999999999999993,45.0,Caterpie,1
50.0,20.0,55.0,25.0,25.0,30.0,Metapod,1
60.0,45.0,50.0,90.0,80.0,70.0,Butterfree,1
39.99999999999999,34.99999999999999,30.0,20.0,19.999999999999993,50.0,Weedle,1
45.0,25.0,50.0,25.0,25.0,35.0,Kakuna,1
65.0,90.0,40.0,45.0,80.0,75.0,Beedrill,1
65.0,150.0,40.0,15.0,80.0,145.0,BeedrillMega Beedrill,0
39.99999999999999,45.0,40.0,34.99999999999999,35.0,56.0,Pidgey,1
63.0,60.0,55.0,50.0,50.0,71.0,Pidgeotto,1
83.0,80.0,75.0,70.0,70.0,101.0,Pidgeot,0
83.0,80.0,80.0,135.0,80.0,121.0,PidgeotMega Pidgeot,0
30.0,56.0,35.0,25.0,35.0,72.0,Rattata,1
55.0,81.0,60.0,50.0,70.0,97.0,Raticate,1
39.99999999999999,60.0,30.0,31.0,31.0,70.0,Spearow,1
65.0,90.0,65.0,61.0,61.0,100.0,Fearow,0
35.0,60.0,44.0,40.00000000000001,54.0,55.0,Ekans,1
60.0,85.0,69.0,65.0,79.0,80.0,Arbok,0
35.0,55.0,40.0,50.0,50.0,90.0,Pikachu,1
60.0,90.0,55.0,90.0,80.0,110.0,Raichu,0
50.0,75.0,85.0,20.0,30.0,40.0,Sandshrew,1
75.0,100.0,110.0,45.0,55.0,65.0,Sandslash,2
55.0,47.0,52.0,40.00000000000001,40.0,41.0,Nidoran♀,1
70.0,62.0,67.0,55.0,55.0,56.0,Nidorina,1
90.0,92.0,87.0,75.0,85.0,76.0,Nidoqueen,2
46.0,57.0,40.0,40.00000000000001,40.0,50.0,Nidoran♂,1
61.0,72.0,57.0,55.0,55.0,65.0,Nidorino,1
81.0,102.0,77.0,85.0,75.0,85.0,Nidoking,0
70.0,45.0,48.0,60.0,65.0,35.0,Clefairy,1
95.0,70.0,73.0,95.0,90.0,60.0,Clefable,2
38.0,41.0,40.0,50.0,65.0,65.0,Vulpix,1
73.0,76.0,75.0,81.0,100.0,100.0,Ninetales,0
115.0,45.0,20.0,45.0,25.0,20.0,Jigglypuff,1
140.0,70.0,45.0,85.0,50.0,45.0,Wigglytuff,2
39.99999999999999,45.0,35.0,30.0,40.0,55.0,Zubat,1
75.0,80.0,70.0,65.0,75.0,90.0,Golbat,0
45.0,50.0,55.0,75.0,65.0,30.0,Oddish,1
60.0,65.0,70.0,85.0,75.0,40.0,Gloom,1
75.0,80.0,85.0,110.0,90.0,50.0,Vileplume,2
35.0,70.0,55.0,45.0,55.0,25.000000000000007,Paras,1
60.0,95.0,80.0,60.0,80.0,30.0,Parasect,2
60.0,55.0,50.0,40.00000000000001,55.0,45.0,Venonat,1
70.0,65.0,60.0,90.0,75.0,90.0,Venomoth,0
10.000000000000007,55.0,25.0,34.99999999999999,45.0,95.0,Diglett,1
