HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Name
45,49,49,65,65,45,Bulbasaur
60,62,63,80,80,60,Ivysaur
80,82,83,100,100,80,Venusaur
80,100,123,122,120,80,VenusaurMega Venusaur
39,52,43,60,50,65,Charmander
58,64,58,80,65,80,Charmeleon
78,84,78,109,85,100,Charizard
78,130,111,130,85,100,CharizardMega Charizard X
78,104,78,159,115,100,CharizardMega Charizard Y
44,48,65,50,64,43,Squirtle
59,63,80,65,80,58,Wartortle
79,83,100,85,105,78,Blastoise
79,103,120,135,115,78,BlastoiseMega Blastoise
45,30,35,20,20,45,Caterpie
50,20,55,25,25,30,Metapod
60,45,50,90,80,70,Butterfree
40,35,30,20,20,50,Weedle
45,25,50,25,25,35,Kakuna
65,90,40,45,80,75,Beedrill
65,150,40,15,80,145,BeedrillMega Beedrill
40,45,40,35,35,56,Pidgey
63,60,55,50,50,71,Pidgeotto
83,80,75,70,70,101,Pidgeot
83,80,80,135,80,121,PidgeotMega Pidgeot
30,56,35,25,35,72,Rattata
55,81,60,50,70,97,Raticate
40,60,30,31,31,70,Spearow
65,90,65,61,61,100,Fearow
35,60,44,40,54,55,Ekans
60,85,69,65,79,80,Arbok
35,55,40,50,50,90,Pikachu
60,90,55,90,80,110,Raichu
50,75,85,20,30,40,Sandshrew
75,100,110,45,55,65,Sandslash
55,47,52,40,40,41,Nidoran♀
70,62,67,55,55,56,Nidorina
90,92,87,75,85,76,Nidoqueen
46,57,40,40,40,50,Nidoran♂
61,72,57,55,55,65,Nidorino
81,102,77,85,75,85,Nidoking
70,45,48,60,65,35,Clefairy
95,70,73,95,90,60,Clefable
38,41,40,50,65,65,Vulpix
73,76,75,81,100,100,Ninetales
115,45,20,45,25,20,Jigglypuff
140,70,45,85,50,45,Wigglytuff
40,45,35,30,40,55,Zubat
75,80,70,65,75,90,Golbat
45,50,55,75,65,30,Oddish
60,65,70,85,75,40,Gloom
75,80,85,110,90,50,Vileplume
35,70,55,45,55,25,Paras
60,95,80,60,80,30,Parasect
60,55,50,40,55,45,Venonat
70,65,60,90,75,90,Venomoth
10,55,25,35,45,95,Diglett
35,80,50,50,70,120,Dugtrio
40,45,35,40,40,90,Meowth
65,70,60,65,65,115,Persian
50,52,48,65,50,55,Psyduck
80,82,78,95,80,85,Golduck
40,80,35,35,45,70,Mankey
65,105,60,60,70,95,Primeape
55,70,45,70,50,60,Growlithe
90,110,80,100,80,95,Arcanine
40,50,40,40,40,90,Poliwag
65,65,65,50,50,90,Poliwhirl
90,95,95,70,90,70,Poliwrath
25,20,15,105,55,90,Abra
40,35,30,120,70,105,Kadabra
55,50,45,135,95,120,Alakazam
55,50,65,175,95,150,AlakazamMega Alakazam
70,80,50,35,35,35,Machop
80,100,70,50,60,45,Machoke
90,130,80,65,85,55,Machamp
50,75,35,70,30,40,Bellsprout
65,90,50,85,45,55,Weepinbell
80,105,65,100,70,70,Victreebel
40,40,35,50,100,70,Tentacool
80,70,65,80,120,100,Tentacruel
40,80,100,30,30,20,Geodude
55,95,115,45,45,35,Graveler
80,120,130,55,65,45,Golem
50,85,55,65,65,90,Ponyta
65,100,70,80,80,105,Rapidash
90,65,65,40,40,15,Slowpoke
95,75,110,100,80,30,Slowbro
95,75,180,130,80,30,SlowbroMega Slowbro
25,35,70,95,55,45,Magnemite
50,60,95,120,70,70,Magneton
52,65,55,58,62,60,Farfetch'd
35,85,45,35,35,75,Doduo
60,110,70,60,60,100,Dodrio
65,45,55,45,70,45,Seel
90,70,80,70,95,70,Dewgong
80,80,50,40,50,25,Grimer
105,105,75,65,100,50,Muk
30,65,100,45,25,40,Shellder
50,95,180,85,45,70,Cloyster
30,35,30,100,35,80,Gastly
45,50,45,115,55,95,Haunter
60,65,60,130,75,110,Gengar
60,65,80,170,95,130,GengarMega Gengar
35,45,160,30,45,70,Onix
60,48,45,43,90,42,Drowzee
85,73,70,73,115,67,Hypno
30,105,90,25,25,50,Krabby
55,130,115,50,50,75,Kingler
40,30,50,55,55,100,Voltorb
60,50,70,80,80,140,Electrode
60,40,80,60,45,40,Exeggcute
95,95,85,125,65,55,Exeggutor
50,50,95,40,50,35,Cubone
60,80,110,50,80,45,Marowak
50,120,53,35,110,87,Hitmonlee
50,105,79,35,110,76,Hitmonchan
90,55,75,60,75,30,Lickitung
40,65,95,60,45,35,Koffing
65,90,120,85,70,60,Weezing
80,85,95,30,30,25,Rhyhorn
105,130,120,45,45,40,Rhydon
250,5,5,35,105,50,Chansey
65,55,115,100,40,60,Tangela
105,95,80,40,80,90,Kangaskhan
105,125,100,60,100,100,KangaskhanMega Kangaskhan
30,40,70,70,25,60,Horsea
55,65,95,95,45,85,Seadra
45,67,60,35,50,63,Goldeen
80,92,65,65,80,68,Seaking
30,45,55,70,55,85,Staryu
60,75,85,100,85,115,Starmie
40,45,65,100,120,90,Mr. Mime
70,110,80,55,80,105,Scyther
65,50,35,115,95,95,Jynx
65,83,57,95,85,105,Electabuzz
65,95,57,100,85,93,Magmar
65,125,100,55,70,85,Pinsir
65,155,120,65,90,105,PinsirMega Pinsir
75,100,95,40,70,110,Tauros
20,10,55,15,20,80,Magikarp
95,125,79,60,100,81,Gyarados
95,155,109,70,130,81,GyaradosMega Gyarados
130,85,80,85,95,60,Lapras
48,48,48,48,48,48,Ditto
55,55,50,45,65,55,Eevee
130,65,60,110,95,65,Vaporeon
65,65,60,110,95,130,Jolteon
65,130,60,95,110,65,Flareon
65,60,70,85,75,40,Porygon
35,40,100,90,55,35,Omanyte
70,60,125,115,70,55,Omastar
30,80,90,55,45,55,Kabuto
60,115,105,65,70,80,Kabutops
80,105,65,60,75,130,Aerodactyl
80,135,85,70,95,150,AerodactylMega Aerodactyl
160,110,65,65,110,30,Snorlax
90,85,100,95,125,85,Articuno
90,90,85,125,90,100,Zapdos
90,100,90,125,85,90,Moltres
41,64,45,50,50,50,Dratini
61,84,65,70,70,70,Dragonair
91,134,95,100,100,80,Dragonite
106,110,90,154,90,130,Mewtwo
106,190,100,154,100,130,MewtwoMega Mewtwo X
106,150,70,194,120,140,MewtwoMega Mewtwo Y
100,100,100,100,100,100,Mew
45,49,65,49,65,45,Chikorita
60,62,80,63,80,60,Bayleef
80,82,100,83,100,80,Meganium
39,52,43,60,50,65,Cyndaquil
58,64,58,80,65,80,Quilava
78,84,78,109,85,100,Typhlosion
50,65,64,44,48,43,Totodile
65,80,80,59,63,58,Croconaw
85,105,100,79,83,78,Feraligatr
35,46,34,35,45,20,Sentret
85,76,64,45,55,90,Furret
60,30,30,36,56,50,Hoothoot
100,50,50,76,96,70,Noctowl
40,20,30,40,80,55,Ledyba
55,35,50,55,110,85,Ledian
40,60,40,40,40,30,Spinarak
70,90,70,60,60,40,Ariados
85,90,80,70,80,130,Crobat
75,38,38,56,56,67,Chinchou
125,58,58,76,76,67,Lanturn
20,40,15,35,35,60,Pichu
50,25,28,45,55,15,Cleffa
90,30,15,40,20,15,Igglybuff
35,20,65,40,65,20,Togepi
55,40,85,80,105,40,Togetic
40,50,45,70,45,70,Natu
65,75,70,95,70,95,Xatu
55,40,40,65,45,35,Mareep
70,55,55,80,60,45,Flaaffy
90,75,85,115,90,55,Ampharos
90,95,105,165,110,45,AmpharosMega Ampharos
75,80,95,90,100,50,Bellossom
70,20,50,20,50,40,Marill
100,50,80,60,80,50,Azumarill
70,100,115,30,65,30,Sudowoodo
90,75,75,90,100,70,Politoed
35,35,40,35,55,50,Hoppip
55,45,50,45,65,80,Skiploom
75,55,70,55,95,110,Jumpluff
55,70,55,40,55,85,Aipom
30,30,30,30,30,30,Sunkern
75,75,55,105,85,30,Sunflora
65,65,45,75,45,95,Yanma
